click_url,thumbnail_url,star_average,name,sold,price
https://shopee.vn/Camera-hành-trình-ô-tô-X10-XETABON-Full-HD-1080p-ghi-hình-trước-sau-có-kết-nối-điện-thoại-1-đổi-1-trong-12-tháng-i.376934776.17062674552,https://cf.shopee.vn/file/sg-11134201-23020-1kbysg3380mvf1,97,"Camera hành trình ô tô X10 XETABON, Full HD 1080p ghi hình trước sau có kết nối điện thoại 1 đổi 1 trong 12 tháng",496,1470000
https://shopee.vn/Camera-hành-trình-ô-tô-W4-camera-wifi-kết-nối-điện-thoại-quay-trước-sau-góc-rộng-siêu-nét-Bảo-Hành-12-Tháng-i.822616743.20725883761,https://cf.shopee.vn/file/ba9a9f87843255414a9eba8b27f30013,100,"Camera hành trình ô tô W4, camera wifi kết nối điện thoại, quay trước sau góc rộng siêu nét Bảo Hành 12 Tháng",538,1179000
https://shopee.vn/VIETMAP-SPEEDMAP-M1-Camera-Hành-Trình-Thế-Hệ-Mới-2023-i.946624117.21672449925,https://cf.shopee.vn/file/sg-11134201-23020-cswi2ss8banv3c,100,"VIETMAP SPEEDMAP M1, Camera Hành Trình Thế Hệ Mới 2023",50,1290000
https://shopee.vn/Camera-hành-trình-ô-tô-K10-Xetabon-cam-hành-trình-2K-có-wifi-kết-nối-điện-thoại-GPS.1-đổi-1-trong-12-tháng-i.822616743.17779841092,https://cf.shopee.vn/file/0d10453ccc350801b731aabae00ae7b7,100,"Camera hành trình ô tô K10 Xetabon ,cam hành trình 2K có wifi kết nối điện thoại ,GPS.1 đổi 1 trong 12 tháng",178,530000
https://shopee.vn/Camera-Hành-Trình-Màn-Hình-Android-V8-WIFI-Xem-Video-Trên-Điện-Thoại-Và-Màn-Hình-ANDROID-i.251967117.20263512587,https://cf.shopee.vn/file/sg-11134201-22110-1u93iufvv3jv1a,98,Camera Hành Trình Màn Hình Android V8 WIFI - Xem Video Trên Điện Thoại Và Màn Hình ANDROID,127,120000
https://shopee.vn/Camera-Hành-Trình-ô-tô-gương-chiếu-hậu-M5-XETABON-màn-cảm-ứng-5-inch-Full-Hd-1080P-lắp-đặt-dễ-dàng-1đổi1-trong-1-năm-i.376934776.18906197548,https://cf.shopee.vn/file/sg-11134201-23020-4yt4cdj850mv62,99,Camera Hành Trình ô tô gương chiếu hậu M5 XETABON-màn cảm ứng 5 inch Full Hd 1080P - lắp đặt dễ dàng 1đổi1 trong 1 năm,392,475000
https://shopee.vn/Camera-Hành-Trình-Ô-tô-Camera-hành-trình-70Mai-A500s-Camera-ô-tô-A500s-Pro-Plus-1944P-Siêu-nét-Tích-hợp-sẵn-GPS-i.21078602.4063889294,https://cf.shopee.vn/file/1f4299578f99b939bf7116adafc6d12c,98,"Camera Hành Trình Ô tô Camera hành trình 70Mai A500s Camera ô tô A500s Pro Plus 1944P Siêu nét, Tích hợp sẵn GPS",1681,1450000
https://shopee.vn/Camera-hành-trình-70Mai-M500-quốc-tế-chip-Sony-5mpx-2-7K-siêu-nét-ADAS-GPS-lỗi-1-đổi-1-i.780073103.18417936165,https://cf.shopee.vn/file/d0c3e84016d7ca4d61491ba7c67e40e7,100,"Camera hành trình 70Mai M500 quốc tế, chip Sony 5mpx/ 2,7K siêu nét, ADAS, GPS, lỗi 1 đổi 1",71,2088000
https://shopee.vn/Giá-đỡ-camera-hành-trình-ô-tô-và-camera-loại-chân-hít-i.439771007.6488596532,https://cf.shopee.vn/file/6b16ce5feac714cdcc3b0a8d393425fe,94,Giá đỡ camera hành trình ô tô và camera loại chân hít,238,15000
https://shopee.vn/Camera-hành-trình-ONTEKCO-S14-Tiếng-Việt-chuẩn-hình-sảnh-sắc-nét-1080P-cam-kết-hoàn-tiền-i.59469433.9577623205,https://cf.shopee.vn/file/afcd6612ecaf5e55c0d8dd83f1bfa783,93,"Camera hành trình ONTEKCO S14 Tiếng Việt chuẩn, hình sảnh sắc nét 1080P, cam kết hoàn tiền",68,269000
https://shopee.vn/Giá-đỡ-camera-hành-trình-ô-tô-và-camera-dạng-hít-i.439687527.9453765435,https://cf.shopee.vn/file/cc08c7495adc4e2f83a7e9fb05711f57,97,Giá đỡ camera hành trình ô tô và camera dạng hít,279,14500
https://shopee.vn/Mặt-dưỡng-camera-trước-360-cho-xe-HYUNDAI-MD-022-i.463613513.12959339986,https://cf.shopee.vn/file/05d4ec522937bb73997e1ffe0e0947c0,99,Mặt dưỡng camera trước 360 cho xe HYUNDAI MD-022,98,80000
https://shopee.vn/Bộ-Camera-Lùi-Xe-Ô-Tô-AHD-720P-25fps-Với-Tầm-Nhìn-Ban-Đêm-Tốt-i.154342691.14840253980,https://cf.shopee.vn/file/e10397b9de4a8b7d1bc372a3fc9ba216,86,Bộ Camera Lùi Xe Ô Tô AHD 720P 25fps Với Tầm Nhìn Ban Đêm Tốt,77,98500
https://shopee.vn/Camera-Lùi-Xe-12-Bóng-LED-CCD-Chống-Nước-Xoay-170-Độ-Hình-Ảnh-HD-i.206468529.16658936337,https://cf.shopee.vn/file/1ee6b0aa873dca6d54d32db49a159b0f,96,Camera Lùi Xe 12 Bóng LED CCD Chống Nước Xoay 170 Độ Hình Ảnh HD,47,76000
https://shopee.vn/Dây-nguồn-cam-hành-trình-xe-hơi-tich-hợp-2-cổng-sạc-USB-i.315978767.21740623615,https://cf.shopee.vn/file/55f42992cad1ed7cb9db62107a36aefd,100,Dây nguồn cam hành trình xe hơi - tich hợp 2 cổng sạc USB,23,30000
https://shopee.vn/Camera-hành-trình-70mai-Pro-Plus-A500s-quay-trước-sau-quốc-tế-chính-hãng-độ-phân-giải-siêu-cao-1944p-i.329402900.7359961992,https://cf.shopee.vn/file/sg-11134201-22100-seocsmbzk5ive8,100,"Camera hành trình 70mai Pro Plus+ A500s quay trước sau ,quốc tế chính hãng độ phân giải siêu cao 1944p",41,1890000
https://shopee.vn/Camera-Chiếu-Hậu-AHD-720P-25fps-Hỗ-Trợ-Tầm-Nhìn-Ban-Đêm-Chống-Thấm-Nước-Dành-Cho-Ô-Tô-i.463832370.13793132368,https://cf.shopee.vn/file/6b4c5d8a4820a2454bdeafe863e3e861,85,Camera Chiếu Hậu AHD 720P 25fps Hỗ Trợ Tầm Nhìn Ban Đêm Chống Thấm Nước Dành Cho Ô Tô,71,90000
https://shopee.vn/Camera-lùi-hồng-ngoại-VIETMAP-3089H-(bản-nâng-cấp-mới-2022)-cho-xe-hơi-i.73436667.21746602906,https://cf.shopee.vn/file/09e60bda981589aa40cb85d8f092b165,90,Camera lùi hồng ngoại VIETMAP 3089H (bản nâng cấp mới 2022) cho xe hơi,23,690000
https://shopee.vn/Camera-Hành-Trình-Ô-Tô-ONTEKCO-S16-Full-HD-1296p-Chống-Rung-Camera-Trước-Và-Sau-Oto-Siêu-Nét-i.59469433.20641942266,https://cf.shopee.vn/file/b3d18d710602ad4924a5e1366b33bbe1,91,Camera Hành Trình Ô Tô ONTEKCO S16 Full HD 1296p Chống Rung Camera Trước Và Sau Oto Siêu Nét,77,429000
https://shopee.vn/Camera-Chiếu-Hậu-Hình-Mắt-Cá-Nhìn-Ban-Đêm-Góc-Rộng-170-Độ-Cho-Xe-Hơi-i.115715604.21513001284,https://cf.shopee.vn/file/5f53a2e0221f4194f775a6a46b312f03,100,Camera Chiếu Hậu Hình Mắt Cá Nhìn Ban Đêm Góc Rộng 170 Độ Cho Xe Hơi,5,105000
https://shopee.vn/Camera-Hành-Trình-ONTEKCO-DASHCAM-Ống-Kính-Kép-3-Ghi-Hình-DVR-1080P-hồng-ngoại-ban-đêm-siêu-sáng-i.706374110.10296745478,https://cf.shopee.vn/file/e53b67390037128b3ce7df0499691c1d,100,"Camera Hành Trình ONTEKCO DASHCAM Ống Kính Kép 3"" Ghi Hình DVR 1080P hồng ngoại ban đêm siêu sáng",17,499000
https://shopee.vn/Tiếng-Việt-camera-hành-trình-camera-xe-hơi-Máy-ghi-hình-lái-xe-camera-kép-phía-trước-và-phía-sau-2K-3-inch-ips-xem-phía-sau-Giám-sát-bãi-đậu-xe-24-giờ-tầm-nhìn-ban-đêm-Ghi-vòng-lặp-Giao-hàng-24-giờ-i.833842081.18832237370,https://cf.shopee.vn/file/sg-11134201-22100-ant3nkse72iv64,96,Tiếng Việt camera hành trình camera xe hơi Máy ghi hình lái xe camera kép phía trước và phía sau 2K 3 inch ips xem phía sau Giám sát bãi đậu xe 24 giờ tầm nhìn ban đêm Ghi vòng lặp Giao hàng 24 giờ,145,585000
